city,year,treat,batch,first_treat_year
佳木斯市,2013,0,0,0
佳木斯市,2014,0,0,0
佳木斯市,2015,0,0,0
佳木斯市,2016,0,0,0
佳木斯市,2017,0,0,0
佳木斯市,2018,0,0,0
佳木斯市,2019,0,0,0
佳木斯市,2020,0,0,0
佳木斯市,2021,0,0,0
佳木斯市,2022,0,0,0
佳木斯市,2023,0,0,0
保定市,1990,0,0,0
保定市,1991,0,0,0
保定市,1992,0,0,0
保定市,1993,0,0,0
保定市,1994,0,0,0
保定市,1995,0,0,0
保定市,1996,0,0,0
保定市,1997,0,0,0
保定市,1998,0,0,0
保定市,1999,0,0,0
保定市,2000,0,0,0
保定市,2001,0,0,0
保定市,2002,0,0,0
保定市,2003,0,0,0
保定市,2004,0,0,0
保定市,2005,0,0,0
保定市,2006,0,0,0
保定市,2007,0,0,0
保定市,2008,0,0,0
保定市,2009,0,0,0
保定市,2010,0,0,0
保定市,2011,0,0,0
保定市,2012,0,0,0
保定市,2013,0,0,0
保定市,2014,0,0,0
保定市,2015,0,0,0
保定市,2016,0,0,0
保定市,2017,0,0,0
保定市,2018,0,0,0
保定市,2019,0,0,0
保定市,2020,0,0,0
保定市,2021,0,0,0
保定市,2022,0,0,0
保定市,2023,0,0,0
保山市,1990,0,0,0
保山市,1991,0,0,0
保山市,1992,0,0,0
保山市,1993,0,0,0
保山市,1994,0,0,0
保山市,1995,0,0,0
保山市,1996,0,0,0
保山市,1997,0,0,0
保山市,1998,0,0,0
保山市,1999,0,0,0
保山市,2000,0,0,0
保山市,2001,0,0,0
保山市,2002,0,0,0
保山市,2003,0,0,0
保山市,2004,0,0,0
保山市,2005,0,0,0
保山市,2006,0,0,0
保山市,2007,0,0,0
保山市,2008,0,0,0
保山市,2009,0,0,0
保山市,2010,0,0,0
保山市,2011,0,0,0
保山市,2012,0,0,0
保山市,2013,0,0,0
保山市,2014,0,0,0
