Year,Month,News_Based_Policy_Uncert_Index
1985,12,104.17722
1986,1,144.26647
1986,2,118.99353
1986,3,120.16006
1986,4,102.47736
1986,5,132.38617
1986,6,115.05228
1986,7,130.82105
1986,8,118.30261
1986,9,125.89422
1986,10,91.820462
1986,11,98.328943
1986,12,87.979676
1987,1,110.43333
1987,2,76.966074
1987,3,99.059576
1987,4,79.532359
1987,5,87.58505
1987,6,106.57285
1987,7,81.389414
1987,8,52.79015
1987,9,59.869595
1987,10,170.32209
1987,11,183.10253
1987,12,149.01115
1988,1,142.87285
1988,2,102.03289
1988,3,82.353635
1988,4,97.856801
1988,5,99.127444
1988,6,88.285945
1988,7,80.835894
1988,8,94.889691
1988,9,85.356802
1988,10,98.253798
1988,11,102.234
1988,12,77.828101
1989,1,87.426406
1989,2,51.350641
1989,3,72.523248
1989,4,92.379827
1989,5,83.752865
1989,6,95.786299
1989,7,78.256595
1989,8,83.109306
1989,9,74.695478
1989,10,76.449554
1989,11,105.04748
1989,12,103.79668
1990,1,92.321494
1990,2,110.44627
1990,3,104.46141
1990,4,88.448172
1990,5,97.387936
1990,6,100.86434
1990,7,86.280178
1990,8,139.32268
1990,9,165.93844
1990,10,137.67424
1990,11,152.4486
1990,12,134.06154
1991,1,204.01055
1991,2,106.51806
1991,3,107.93748
1991,4,93.014643
1991,5,82.147823
1991,6,85.919035
1991,7,80.648996
1991,8,99.122088
1991,9,127.29445
1991,10,108.12096
1991,11,140.61236
1991,12,171.01098
1992,1,116.36486
1992,2,154.59694
1992,3,96.82841
1992,4,89.854222
1992,5,78.680471
1992,6,122.2935
1992,7,119.61317
1992,8,122.40712
1992,9,141.44325
1992,10,161.25424
1992,11,108.15006
1992,12,87.872095
1993,1,83.464978
1993,2,106.97612
1993,3,109.79681
1993,4,89.65113
1993,5,133.50577
1993,6,120.68006
1993,7,106.50299
1993,8,115.57618
1993,9,116.02729
1993,10,78.822508
1993,11,89.257497
1993,12,77.272013
1994,1,82.292792
1994,2,96.145653
1994,3,83.226883
1994,4,106.35445
1994,5,94.503876
1994,6,87.468898
1994,7,75.432046
1994,8,88.997294
1994,9,85.293496
1994,10,61.686224
1994,11,94.68728
1994,12,94.763187
1995,1,122.40638
1995,2,100.51556
1995,3,86.486182
1995,4,65.995564
1995,5,67.301655
1995,6,75.823385
1995,7,81.652943
1995,8,55.888009
1995,9,70.380916
1995,10,79.905524
1995,11,101.20012
1995,12,90.670606
1996,1,101.57822
1996,2,82.021395
1996,3,76.630455
1996,4,70.881059
1996,5,62.109611
1996,6,82.242937
1996,7,69.693672
1996,8,88.647423
1996,9,78.980762
1996,10,55.670242
1996,11,74.371197
1996,12,67.173346
1997,1,75.445516
1997,2,92.086141
1997,3,70.452693
1997,4,71.104439
1997,5,75.869499
1997,6,84.478046
1997,7,76.706199
1997,8,58.915026
1997,9,54.414304
1997,10,92.929558
1997,11,85.982807
1997,12,103.69953
1998,1,107.95376
1998,2,101.14947
1998,3,83.347615
1998,4,74.457284
1998,5,80.127141
1998,6,80.887732
1998,7,101.41852
1998,8,130.46704
1998,9,169.03727
1998,10,145.02323
1998,11,113.50475
1998,12,110.89498
1999,1,123.32284
1999,2,94.996282
1999,3,67.027571
1999,4,69.787894
1999,5,64.776457
1999,6,74.925619
1999,7,86.529938
1999,8,77.025337
1999,9,77.498352
1999,10,65.337079
1999,11,76.317182
1999,12,79.32243
2000,1,88.988694
2000,2,73.3652
2000,3,73.298624
2000,4,70.599742
2000,5,118.14321
2000,6,109.58423
2000,7,86.658348
2000,8,58.906461
2000,9,73.550992
2000,10,89.913447
2000,11,166.18403
2000,12,149.4485
2001,1,142.61412
2001,2,128.62566
2001,3,137.37416
2001,4,148.758
2001,5,117.43626
2001,6,93.461232
2001,7,120.29459
2001,8,95.39997
2001,9,272.76447
2001,10,247.29425
2001,11,172.48883
2001,12,149.70893
2002,1,148.44973
2002,2,104.60943
2002,3,97.512996
2002,4,106.16465
2002,5,98.64004
2002,6,111.14995
2002,7,139.66112
2002,8,136.11907
2002,9,149.84821
2002,10,128.97361
2002,11,162.22141
2002,12,160.41132
2003,1,185.59163
2003,2,161.75977
2003,3,224.6472
2003,4,176.57987
2003,5,122.30983
2003,6,110.69554
2003,7,103.74825
2003,8,91.714177
2003,9,109.55396
2003,10,78.585987
2003,11,78.6961
2003,12,90.34359
2004,1,88.277596
2004,2,88.901485
2004,3,84.330896
2004,4,79.72692
2004,5,97.208038
2004,6,85.27449
2004,7,88.956501
2004,8,84.449878
2004,9,108.50958
2004,10,118.34145
2004,11,96.695767
2004,12,66.532877
2005,1,66.734328
2005,2,51.695687
2005,3,49.30864
2005,4,78.395873
2005,5,75.090765
2005,6,82.005589
2005,7,71.939547
2005,8,59.617232
2005,9,105.76986
2005,10,79.83
2005,11,60.067852
2005,12,70.026756
2006,1,75.079238
2006,2,69.491745
2006,3,55.008073
2006,4,81.651724
